index, frame_type, GPU Time, time.time()
720,0,17606627,1740586857.891420
721,0,17631493,1740586857.915380
722,0,17656362,1740586857.942303
723,0,17681231,1740586857.964960
724,0,17706098,1740586857.990633
725,0,17730969,1740586858.016323
726,0,17755834,1740586858.039313
727,0,17780702,1740586858.066543
728,0,17805571,1740586858.089738
729,0,17830438,1740586858.114536
730,0,17855308,1740586858.139307
731,0,17880176,1740586858.164256
732,2,-1000,1740586858.185737
733,1,17905043,1740586858.197071
733,1,-1000,1740586858.198874
734,0,17929913,1740586858.216976
735,0,17954779,1740586858.239248
736,0,17979647,1740586858.262996
737,0,18004515,1740586858.288322
738,0,18029384,1740586858.313658
739,0,18054252,1740586858.338289
740,0,18079120,1740586858.362748
741,0,18103990,1740586858.387807
742,0,18128856,1740586858.412452
743,0,18153724,1740586858.440246
744,0,18178595,1740586858.462008
745,0,18203460,1740586858.487855
746,0,18228328,1740586858.513077
747,0,18253196,1740586858.538688
748,0,18278065,1740586858.564218
749,0,18302934,1740586858.590133
750,0,18327801,1740586858.613965
751,0,18352673,1740586858.639721
752,0,18377537,1740586858.662870
753,0,18402405,1740586858.687734
754,0,18427275,1740586858.714218
755,0,18452142,1740586858.737996
756,0,18477010,1740586858.760523
757,0,18501878,1740586858.788253
758,0,18526746,1740586858.814132
759,0,18551614,1740586858.836764
760,0,18576482,1740586858.863351
761,0,18601350,1740586858.888315
762,0,18626218,1740586858.910607
763,0,18651087,1740586858.941213
764,0,18675956,1740586858.960178
765,0,18700822,1740586858.987054
766,0,18725691,1740586859.010455
767,0,18750561,1740586859.035206
768,0,18775427,1740586859.065109
769,0,18800296,1740586859.085708
770,0,18825163,1740586859.109604
771,0,18850031,1740586859.135338
772,0,18874899,1740586859.160430
773,0,18899767,1740586859.186598
774,0,18924636,1740586859.211082
775,0,18949503,1740586859.235957
776,0,18974372,1740586859.258239
777,0,18999243,1740586859.286680
778,0,19024108,1740586859.311796
779,0,19048978,1740586859.333147
780,0,19073845,1740586859.360169
781,0,19098713,1740586859.383738
782,0,19123580,1740586859.410290
783,0,19148450,1740586859.438954
784,0,19173317,1740586859.457789
785,0,19198185,1740586859.483973
786,0,19223053,1740586859.508644
787,0,19247923,1740586859.532400
788,0,19272789,1740586859.559644
789,0,19297658,1740586859.581811
790,0,19322526,1740586859.607753
791,0,19347394,1740586859.631497
792,0,19372262,1740586859.657640
793,2,-1000,1740586859.681113
794,1,19397130,1740586859.693547
794,1,-1000,1740586859.696786
795,0,19421998,1740586859.712230
796,0,19446866,1740586859.732815
797,0,19471734,1740586859.757594
798,0,19496602,1740586859.781900
799,0,19521471,1740586859.806540
800,0,19546339,1740586859.830134
801,0,19571208,1740586859.857086
802,0,19596075,1740586859.880426
803,0,19620943,1740586859.904427
804,0,19645813,1740586859.932045
805,0,19670679,1740586859.955023
806,0,19695547,1740586859.979283
807,0,19720415,1740586860.006834
808,0,19745309,1740586860.031183
809,0,19770152,1740586860.056520
810,0,19795020,1740586860.080538
811,0,19819889,1740586860.104338
812,0,19844756,1740586860.129713
813,0,19869624,1740586860.156203
814,0,19894493,1740586860.180647
815,0,19919360,1740586860.205174
816,0,19944228,1740586860.230169
817,0,19969096,1740586860.255164
818,0,19993965,1740586860.280110
819,0,20018833,1740586860.306503
820,0,20043701,1740586860.328307
821,0,20068569,1740586860.354517
822,0,20093438,1740586860.379242
823,0,20118305,1740586860.403239
824,0,20143173,1740586860.430066
825,0,20168042,1740586860.452675
826,0,20192909,1740586860.479491
827,0,20217780,1740586860.502593
828,0,20242646,1740586860.528674
829,0,20267514,1740586860.555373
830,0,20292382,1740586860.576799
831,0,20317250,1740586860.603287
832,0,20342118,1740586860.626757
833,0,20366987,1740586860.650915
834,0,20391856,1740586860.678622
835,0,20416723,1740586860.700196
836,0,20441591,1740586860.727867
837,0,20466461,1740586860.752893
838,0,20491327,1740586860.775256
839,0,20516195,1740586860.804916
840,0,20541064,1740586860.827376
841,0,20565931,1740586860.849755
842,0,20590799,1740586860.876667
843,0,20615673,1740586860.900399
844,0,20640537,1740586860.925998
845,0,20665404,1740586860.950513
846,0,20690272,1740586860.974818
847,0,20715143,1740586861.000686
848,0,20740008,1740586861.025352
849,0,20764876,1740586861.051003
